month,symbol,side
2018-09,DOC,pierre_only
2018-09,EG,pierre_only
2018-09,ELV,pierre_only
2018-09,FOX,pierre_only
2018-09,FOXA,pierre_only
2018-09,GEN,pierre_only
2018-09,GL,pierre_only
2018-09,J,pierre_only
2018-09,LHX,pierre_only
2018-09,LIN,pierre_only
2018-09,LLL,pierre_only
2018-09,LUMN,pierre_only
2018-09,META,pierre_only
2018-09,MRSH,pierre_only
2018-09,PSKY,pierre_only
2018-09,RTX,pierre_only
2018-09,RVTY,pierre_only
2018-09,SW,pierre_only
2018-09,TFC,pierre_only
2018-09,TT,pierre_only
2018-09,VTRS,pierre_only
2018-09,WTW,pierre_only
2018-10,ABC,hans_only
2018-10,ANTM,hans_only
2018-10,BBT,hans_only
2018-10,BF-B,hans_only
2018-10,BLL,hans_only
2018-10,BRK-B,hans_only
2018-10,CBS,hans_only
2018-10,COG,hans_only
2018-10,CTL,hans_only
2018-10,FB,hans_only
2018-10,FLT,hans_only
2018-10,HRS,hans_only
2018-10,JEC,hans_only
2018-10,LB,hans_only
2018-10,MMC,hans_only
2018-10,MYL,hans_only
2018-10,PKI,hans_only
2018-10,RE,hans_only
2018-10,SYMC,hans_only
2018-10,TMK,hans_only
2018-10,UTX,hans_only
2018-10,WLTW,hans_only
2018-10,WRK,hans_only
2018-10,AGN,pierre_only
2018-10,ARNC,pierre_only
2018-10,BALL,pierre_only
2018-10,BBWI,pierre_only
2018-10,BF/B,pierre_only
2018-10,BKR,pierre_only
2018-10,BRK/B,pierre_only
2018-10,COR,pierre_only
2018-10,CPAY,pierre_only
2018-10,CTRA,pierre_only
2018-10,DAY,pierre_only
2018-10,DOC,pierre_only
2018-10,EG,pierre_only
2018-10,ELV,pierre_only
2018-10,FOX,pierre_only
2018-10,FOXA,pierre_only
2018-10,GEN,pierre_only
2018-10,GL,pierre_only
2018-10,J,pierre_only
2018-10,LHX,pierre_only
2018-10,LIN,pierre_only
2018-10,LLL,pierre_only
2018-10,LUMN,pierre_only
2018-10,META,pierre_only
2018-10,MRSH,pierre_only
2018-10,PSKY,pierre_only
2018-10,RTX,pierre_only
2018-10,RVTY,pierre_only
2018-10,SW,pierre_only
2018-10,TFC,pierre_only
2018-10,TT,pierre_only
2018-10,VTRS,pierre_only
2018-10,WTW,pierre_only
2018-11,ABC,hans_only
2018-11,ANTM,hans_only
2018-11,BBT,hans_only
2018-11,BF-B,hans_only
2018-11,BLL,hans_only
2018-11,BRK-B,hans_only
2018-11,CBS,hans_only
2018-11,COG,hans_only
2018-11,CTL,hans_only
2018-11,FB,hans_only
2018-11,FLT,hans_only
2018-11,HRS,hans_only
2018-11,JEC,hans_only
2018-11,LB,hans_only
2018-11,MMC,hans_only
2018-11,MYL,hans_only
2018-11,PKI,hans_only
2018-11,RE,hans_only
2018-11,SYMC,hans_only
2018-11,TMK,hans_only
2018-11,UTX,hans_only
2018-11,WLTW,hans_only
2018-11,WRK,hans_only
2018-11,AET,pierre_only
2018-11,AGN,pierre_only
2018-11,ARNC,pierre_only
2018-11,BALL,pierre_only
2018-11,BBWI,pierre_only
2018-11,BF/B,pierre_only
2018-11,BKR,pierre_only
2018-11,BRK/B,pierre_only
2018-11,COL,pierre_only
2018-11,COR,pierre_only
2018-11,CPAY,pierre_only
2018-11,CTRA,pierre_only
2018-11,DAY,pierre_only
2018-11,DOC,pierre_only
2018-11,EG,pierre_only
2018-11,ELV,pierre_only
2018-11,FOX,pierre_only
2018-11,FOXA,pierre_only
2018-11,GEN,pierre_only
2018-11,GL,pierre_only
2018-11,J,pierre_only
2018-11,LHX,pierre_only
2018-11,LLL,pierre_only
2018-11,LUMN,pierre_only
2018-11,META,pierre_only
2018-11,MRSH,pierre_only
2018-11,PSKY,pierre_only
2018-11,RTX,pierre_only
2018-11,RVTY,pierre_only
2018-11,SW,pierre_only
2018-11,TFC,pierre_only
2018-11,TT,pierre_only
2018-11,VTRS,pierre_only
2018-11,WTW,pierre_only
2018-12,ABC,hans_only
2018-12,ANTM,hans_only
2018-12,BBT,hans_only
2018-12,BF-B,hans_only
2018-12,BLL,hans_only
2018-12,BRK-B,hans_only
2018-12,CBS,hans_only
2018-12,COG,hans_only
2018-12,CTL,hans_only
2018-12,FB,hans_only
2018-12,FLT,hans_only
2018-12,HRS,hans_only
2018-12,JEC,hans_only
2018-12,LB,hans_only
2018-12,MMC,hans_only
2018-12,MYL,hans_only
2018-12,PKI,hans_only
2018-12,RE,hans_only
2018-12,SYMC,hans_only
2018-12,TMK,hans_only
2018-12,UTX,hans_only
2018-12,WLTW,hans_only
2018-12,WRK,hans_only
2018-12,AGN,pierre_only
2018-12,ARNC,pierre_only
2018-12,BALL,pierre_only
2018-12,BBWI,pierre_only
2018-12,BF/B,pierre_only
2018-12,BKR,pierre_only
2018-12,BRK/B,pierre_only
2018-12,COR,pierre_only
2018-12,CPAY,pierre_only
2018-12,CTRA,pierre_only
2018-12,DAY,pierre_only
2018-12,DOC,pierre_only
2018-12,EG,pierre_only
2018-12,ELV,pierre_only
2018-12,FOX,pierre_only
2018-12,FOXA,pierre_only
2018-12,GEN,pierre_only
2018-12,GL,pierre_only
2018-12,J,pierre_only
2018-12,LHX,pierre_only
