strategy,signal_date,execution_date,exit_execution_date,regime,gross_return,net_return,turnover_half_l1,traded_notional,cost,valid_weight_fraction,names
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-11-30,2018-12-03,2019-01-02,RISK_ON,-0.08992808842274269,-0.09072808842274269,0.4,0.8,0.0008,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.08227753651957381,0.08166756828785185,0.3049841158609847,0.6099682317219693,0.0006099682317219693,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-01-31,2019-02-01,2019-03-01,RISK_ON,0.08123206638284092,0.08022295112099491,0.5045576309230058,1.0091152618460115,0.0010091152618460116,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-02-28,2019-03-01,2019-04-01,RISK_ON,0.04657863966504668,0.04536566593836826,0.6064868633392133,1.2129737266784266,0.0012129737266784266,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-03-29,2019-04-01,2019-05-01,NEUTRAL,0.042994169163530764,0.04196442272165872,0.5148732209360207,1.0297464418720415,0.0010297464418720416,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-04-30,2019-05-01,2019-06-03,RISK_ON,-0.09622051506499808,-0.09683108162597327,0.30528328048759257,0.6105665609751851,0.0006105665609751851,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-05-31,2019-06-03,2019-07-01,NEUTRAL,0.08162548740084857,0.0806121460405378,0.506670680155386,1.013341360310772,0.001013341360310772,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-06-28,2019-07-01,2019-08-01,NEUTRAL,0.02875078788419292,0.02755078788419292,0.6,1.2,0.0012,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-07-31,2019-08-01,2019-09-03,NEUTRAL,0.012707554552269684,0.011476107439221152,0.615723556524266,1.231447113048532,0.001231447113048532,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-08-30,2019-09-03,2019-10-01,NEUTRAL,0.023978663654674992,0.023165236202183283,0.4067137262458551,0.8134274524917102,0.0008134274524917103,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-09-30,2019-10-01,2019-11-01,NEUTRAL,0.01688033183917099,0.01586666306757858,0.5068343857962049,1.0136687715924098,0.0010136687715924099,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-10-31,2019-11-01,2019-12-02,RISK_ON,0.013082596780031333,0.012465468146608703,0.308564316711315,0.61712863342263,0.00061712863342263,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-11-29,2019-12-02,2020-01-02,RISK_ON,0.05039265084849945,0.04917594231810658,0.6083542651964335,1.216708530392867,0.0012167085303928672,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2019-12-31,2020-01-02,2020-02-03,RISK_ON,-0.023932509871364985,-0.024743022916165838,0.40525652240042703,0.8105130448008541,0.0008105130448008541,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-01-31,2020-02-03,2020-03-02,NEUTRAL,-0.01839868125250507,-0.019198681252505068,0.4,0.8,0.0008,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-02-28,2020-03-02,2020-04-01,NEUTRAL,-0.11373514883288721,-0.11420033556611317,0.2325933666129777,0.4651867332259554,0.0004651867332259554,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2020-03-31,2020-04-01,2020-05-01,NEUTRAL,0.10666740595799695,0.10566446813178774,0.5014689131046063,1.0029378262092126,0.0010029378262092126,1.0,10
