strategy,category,score_variant,n,allocation,signal_date,execution_date,exit_execution_date,regime,gross_return,net_return,turnover_half_l1,traded_notional,cost,valid_weight_fraction,max_stock_weight,top3_stock_weight,stock_hhi,effective_stock_count,max_sector_weight,sector_hhi,effective_sector_count
full_dynamic_n5_invvol,breadth,full_dynamic,5,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.06735297372957387,0.06612766784979478,0.6126529398895459,1.2253058797790919,0.001225305879779092,1.0,0.2689261994783406,0.7517750424387489,0.2201765205519244,4.5418103505917164,0.36506854019738155,0.27713656036399253,3.6083294051372907
full_dynamic_n20_invvol,breadth,full_dynamic,20,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.06430078254077852,0.06335792510958,0.47142871559926214,0.9428574311985243,0.0009428574311985243,1.0,0.07523875674905446,0.21306801985571733,0.05417519284210092,18.458632956131808,0.2582186722573715,0.17016888892504625,5.87651483368659
full_dynamic_strict_12_30,constraint_baseline,full_dynamic,10,strict,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.0811338457656165,0.08012890206451304,0.5024718505517307,1.0049437011034614,0.0010049437011034614,1.0,0.12,0.36,0.1040013407007979,9.615260661657297,0.3,0.23008325652219389,4.346252809158844
static_neutral_n10_invvol,macro_ablation,static_neutral,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.07330137760880358,0.07267028144494504,0.31554808192926553,0.6310961638585311,0.0006310961638585311,1.0,0.1438211389219958,0.40521447054517684,0.11044203817899413,9.054523227643568,0.40453056524486364,0.26990720092164305,3.704977105410058
dynamic_no_macro_sector_n10,macro_ablation,dynamic_no_macro_sector,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.06834338778247372,0.06724618056197218,0.5486036102507708,1.0972072205015415,0.0010972072205015415,0.9999999999999999,0.14217399474387318,0.40250184969797376,0.10956493707308251,9.127007478067325,0.48779946235739813,0.31982900809538795,3.1266707355755337
no_sector_rotation_n10,factor_ablation,no_sector_rotation,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.07974041220133199,0.07867519868104804,0.5326067601419778,1.0652135202839557,0.0010652135202839556,1.0,0.15902686721624898,0.4477231234468607,0.11434119021480742,8.745754684915795,0.2721633599517812,0.19397837914575974,5.15521371198064
no_momentum_n10,factor_ablation,no_momentum,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.08798154212629003,0.0871939117773287,0.39381517448066794,0.7876303489613359,0.000787630348961336,0.9999999999999999,0.16314163134818377,0.4401915984935971,0.11291555438475767,8.85617579835386,0.4401915984935972,0.31986343632106207,3.1263341990619167
no_quality_n10,factor_ablation,no_quality,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.040449585711802294,0.03943225898594804,0.5086633629271267,1.0173267258542533,0.0010173267258542533,1.0,0.13842811826812781,0.3820779735131303,0.10593376778441277,9.439860593225697,0.34458105872265987,0.21031288279850013,4.754820468882525
no_value_n10,factor_ablation,no_value,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.0806670973241374,0.07966193277785624,0.5025822731405798,1.0051645462811596,0.0010051645462811596,0.9999999999999999,0.13468689194778674,0.37922962390635717,0.10674505316248216,9.368115621038179,0.3470623699860975,0.2790178334961849,3.5840003037428545
no_growth_n10,factor_ablation,no_growth,10,invvol,2018-12-31,2019-01-02,2019-02-01,RISK_ON,0.0525579151281726,0.05185164145661904,0.3531368357767799,0.7062736715535598,0.0007062736715535598,0.9999999999999999,0.14778066273593835,0.39841772736594716,0.10835692838828856,9.228759202333407,0.2361286945475652,0.17994343702171609,5.557301875251595
